#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>Ctrl+T</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Open the selected path in a new tabpage.<br><br><small>Exact notation: <code>&lt;C-t&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Ctrl+S</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Grep the current directory or selected paths through Telescope.<br><br><small>Exact notation: <code>&lt;C-s&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Ctrl+G</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Open Grug Far for the current directory or selected paths.<br><br><small>Exact notation: <code>&lt;C-g&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Tab</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Cycle through Neovim&#x27;s open buffers.<br><br><small>Exact notation: <code>&lt;Tab&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Ctrl+Q</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Send selected paths to quickfix.<br><br><small>Exact notation: <code>&lt;C-q&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>q</b> do in <b>Normal mode</b>?<br><small>This config · Yazi</small>	Quit Yazi cleanly after leaving terminal mode.<br><br><small>Exact notation: <code>q</code></small>	nvim config config::yazi context::yazi mode::normal
What does <b>]c</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Jump to the next hunk; retains Vim&#x27;s native ]c behavior in diff windows.<br><br><small>Exact notation: <code>]c</code></small>	nvim config config::gitsigns mode::normal
What does <b>[c</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Jump to the previous hunk; retains Vim&#x27;s native [c behavior in diff windows.<br><br><small>Exact notation: <code>[c</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h s</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Stage the hunk under the cursor.<br><br><small>Exact notation: <code>&lt;leader&gt;hs</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h r</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Reset the hunk under the cursor, discarding those working-tree changes.<br><br><small>Exact notation: <code>&lt;leader&gt;hr</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h s</b> do in <b>Visual mode</b>?<br><small>This config · Gitsigns</small>	Stage the selected lines.<br><br><small>Exact notation: <code>&lt;leader&gt;hs</code></small>	nvim config config::gitsigns mode::visual
What does <b>Space h r</b> do in <b>Visual mode</b>?<br><small>This config · Gitsigns</small>	Reset the selected lines, discarding those working-tree changes.<br><br><small>Exact notation: <code>&lt;leader&gt;hr</code></small>	nvim config config::gitsigns mode::visual
What does <b>Space h S</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Stage the entire current buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;hS</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h R</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Reset the entire current buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;hR</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h p</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Preview the current hunk in a float.<br><br><small>Exact notation: <code>&lt;leader&gt;hp</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h b</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Show full blame information for the current line.<br><br><small>Exact notation: <code>&lt;leader&gt;hb</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space h d</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Diff the current file against the Git index.<br><br><small>Exact notation: <code>&lt;leader&gt;hd</code></small>	nvim config config::gitsigns mode::normal
What does <b>Space t b</b> do in <b>Normal mode</b>?<br><small>This config · Gitsigns</small>	Toggle inline blame for the current line.<br><br><small>Exact notation: <code>&lt;leader&gt;tb</code></small>	nvim config config::gitsigns mode::normal
What does <b>ih</b> do in <b>Visual mode</b>?<br><small>This config · Gitsigns</small>	Select the current Git hunk; use cih or vih, not stale vah.<br><br><small>Exact notation: <code>ih</code></small>	nvim config config::gitsigns mode::operator mode::visual
What does <b>Space g g</b> do in <b>Normal mode</b>?<br><small>This config · LazyGit</small>	Open LazyGit for the repository; requires the lazygit executable.<br><br><small>Exact notation: <code>&lt;leader&gt;gg</code></small>	nvim config config::lazygit mode::normal
What does <b>Space g f</b> do in <b>Normal mode</b>?<br><small>This config · LazyGit</small>	Open LazyGit filtered to the current file; requires lazygit.<br><br><small>Exact notation: <code>&lt;leader&gt;gf</code></small>	nvim config config::lazygit mode::normal
What does <b>Space m r</b> do in <b>Normal mode</b>?<br><small>This config · Markdown</small>	Toggle rendered versus raw Markdown in the current Markdown buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;mr</code></small>	nvim config config::markdown mode::normal
What does <b>Space m p</b> do in <b>Normal mode</b>?<br><small>This config · Markdown</small>	Toggle the live rendered side preview for the current Markdown buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;mp</code></small>	nvim config config::markdown mode::normal
What does <b>K</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Show hover documentation; only exists after an LSP attaches.<br><br><small>Exact notation: <code>K</code></small>	nvim config config::lsp mode::normal
What does <b>gD</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Go to the symbol&#x27;s declaration; only exists after LSP attach.<br><br><small>Exact notation: <code>gD</code></small>	nvim config config::lsp mode::normal
What does <b>gd</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Go to the symbol&#x27;s definition; only exists after LSP attach.<br><br><small>Exact notation: <code>gd</code></small>	nvim config config::lsp mode::normal
What does <b>gI</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Go to the symbol&#x27;s implementation; only exists after LSP attach.<br><br><small>Exact notation: <code>gI</code></small>	nvim config config::lsp mode::normal
What does <b>gr</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Find references through Telescope; only exists after LSP attach.<br><br><small>Exact notation: <code>gr</code></small>	nvim config config::lsp mode::normal
What does <b>Space D</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Go to the type definition; buffer-local mapping overrides global black-hole delete-to-EOL.<br><br><small>Exact notation: <code>&lt;leader&gt;D</code></small>	nvim config config::lsp mode::normal collision
What does <b>Space r n</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Rename the symbol; only exists after LSP attach.<br><br><small>Exact notation: <code>&lt;leader&gt;rn</code></small>	nvim config config::lsp mode::normal
What does <b>Space c a</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · LSP buffer</small>	Show code actions; only exists after LSP attach.<br><br><small>Exact notation: <code>&lt;leader&gt;ca</code></small>	nvim config config::lsp mode::normal mode::visual
What does <b>Space d s</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Find document symbols through Telescope.<br><br><small>Exact notation: <code>&lt;leader&gt;ds</code></small>	nvim config config::lsp mode::normal
What does <b>Space w s</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Find workspace symbols through Telescope.<br><br><small>Exact notation: <code>&lt;leader&gt;ws</code></small>	nvim config config::lsp mode::normal
What does <b>Space t h</b> do in <b>Normal mode</b>?<br><small>This config · LSP buffer</small>	Toggle current-buffer inlay hints; only mapped when the server supports them.<br><br><small>Exact notation: <code>&lt;leader&gt;th</code></small>	nvim config config::lsp mode::normal
What does <b>Ctrl+N</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Select the next completion item; falls back when completion is inactive.<br><br><small>Exact notation: <code>&lt;C-n&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+P</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Select the previous completion item; falls back when completion is inactive.<br><br><small>Exact notation: <code>&lt;C-p&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+Y</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Select and accept the current completion item.<br><br><small>Exact notation: <code>&lt;C-y&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+E</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Cancel completion; otherwise fall back to normal Insert-mode behavior.<br><br><small>Exact notation: <code>&lt;C-e&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+Space</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Show completion or toggle its documentation.<br><br><small>Exact notation: <code>&lt;C-Space&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Up Arrow</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Select the previous completion item; otherwise move normally.<br><br><small>Exact notation: <code>&lt;Up&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Down Arrow</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Select the next completion item; otherwise move normally.<br><br><small>Exact notation: <code>&lt;Down&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+B</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Scroll completion documentation up; otherwise fall back.<br><br><small>Exact notation: <code>&lt;C-b&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+F</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Scroll completion documentation down; otherwise fall back.<br><br><small>Exact notation: <code>&lt;C-f&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Tab</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Jump forward through snippet placeholders; it does not accept completion.<br><br><small>Exact notation: <code>&lt;Tab&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Shift+Tab</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Jump backward through snippet placeholders; it does not accept completion.<br><br><small>Exact notation: <code>&lt;S-Tab&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Ctrl+K</b> do in <b>Insert mode</b>?<br><small>This config · completion</small>	Show or hide signature help; otherwise fall back.<br><br><small>Exact notation: <code>&lt;C-k&gt;</code></small>	nvim config config::completion mode::insert
What does <b>Space c f</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · formatting</small>	Format the buffer or selected range with Conform and LSP fallback.<br><br><small>Exact notation: <code>&lt;leader&gt;cf</code></small>	nvim config config::formatting mode::normal mode::visual
What does <b>Space t f</b> do in <b>Normal mode</b>?<br><small>This config · formatting</small>	Toggle the global format-on-save disable flag.<br><br><small>Exact notation: <code>&lt;leader&gt;tf</code></small>	nvim config config::formatting mode::normal
